"TABLE_NAME","CONSTRAINT_NAME","COLUMN_NAME","R_TABLE_NAME","FOREIGN_COL"
"LICHEN_VISIT","LVT_PLT_FK","PLT_CN","PLOT","CN"
"REF_SPECIES_CONFIGURATION","REFSPCFG_TX_FK","TX_CN","TAXA","CN"
"TAXA_LIST","TXLST_TLT_FK","TLT_CN","TYP_LIST_TYPE","CN"
"TAXA_GROUP_ASSGN","TXGA_TXGCA_FK","TXGCA_CN","TAXA_GROUP_CODE_ASSGN","CN"
"TAXA","TX_TXR_FK","TXR_CN","TAXA_RANK","CN"
"STG_COMMON_NAME","STGCN_STGRS_FK","STGRS_CN","STG_REF_SPECIES","CN"
"TAXA_FIA_INVASIVE_LIST_ASSGN","TFILA_TFIL_FK","TFIL_CN","TAXA_FIA_INVASIVE_LIST","CN"
"STG_REF_SPECIES","STGRS_STGRSB_FK","STGRSB_CN","STG_REF_SPECIES_BATCH","CN"
"TAXA_FIA_INVASIVE_LIST_ASSGN","TFILA_TX_FK","TX_CN","TAXA","CN"
"TAXA_LIST_ASSGN","TXLA_TX_FK","TX_CN","TAXA","CN"
"TAXA_COMMON_NAME","TXCN_TXGEO_FK","TXGEO_CN","TAXA_GEOM","CN"
"TAXA_GROUP_CODE_ASSGN","TXGCA_TXGC_FK","TXGC_CN","TAXA_GROUP_CODE","CN"
"TAXA_FIA_TREE_LIST_ASSGN","TFTLA_TX_FK","TX_CN","TAXA","CN"
"TAXA_PROPERTIES","TXP_TTXPRT_FK","TTXPRT_CN","TYP_TXP_RECORD_TYPE","CN"
"TAXA_FIA_TREE_LIST_EXCLUSION","TFTLE_TTFTLET_FK","TTFTLET_CN","TYP_TFTLE_TYPE","CN"
"TAXA_GROUP_CODE_ASSGN","TXGCA_TXG_FK","TXG_CN","TAXA_GROUP","CN"
"TAXA","TX_PARENTTX_FK","PARENT_CN","TAXA","CN"
"REF_RESERVED_AREA_NAME","RRAN_TRRANSC_FK","TRRANSC_CN","TYP_RRAN_STATUS_CODE","CN"
"STG_COMMON_NAME","STGCN_TXGEO_FK","TXGEO_CN","TAXA_GEOM","CN"
"REF_SPECIES_NVCS","REFSPCNVCS_TX_FK","TX_CN","TAXA","CN"
"TAXA_FIA_TREE_LIST_EXCLUSION","TFTLE_TFTLA_FK","TFTLA_CN","TAXA_FIA_TREE_LIST_ASSGN","CN"
"TAXA_GROUP_ASSGN","TXGA_TX_FK","TX_CN","TAXA","CN"
"STG_COMMON_NAME","STGCN_TX_FK","TX_CN","TAXA","CN"
"STG_COMMON_NAME","STGCN_STGRSB_FK","STGRSB_CN","STG_REF_SPECIES_BATCH","CN"
"TAXA","TX_TXD_FK","TXD_CN","TAXA_DICTIONARY","CN"
"TAXA_LIST_ASSGN","TXLA_TXLST_FK","TXLST_CN","TAXA_LIST","CN"
"STG_REF_SPECIES","STGRS_TXD_FK","TXD_CN","TAXA_DICTIONARY","CN"
"STG_COMMON_NAME","STGCN_TXCN_FK","TXCN_CN","TAXA_COMMON_NAME","CN"
"REF_RESERVED_AREA_NAME","RRAN_TRRANSOC_FK","TRRANSOC_CN","TYP_RRAN_SOURCE_CODE","CN"
"TAXA_COMMON_NAME","TXCN_TX_FK","TX_CN","TAXA","CN"
"TAXA_FIA_TREE_LIST_ASSGN","TFTLA_TFTL_FK","TFTL_CN","TAXA_FIA_TREE_LIST","CN"
"TAXA_PROPERTIES","TXP_TX_FK","TX_CN","TAXA","CN"
